partition,planner,profile_id,metric,n,mean,sd,median,min,max
holdout,teb,delay_050,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,delay_050,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,delay_050,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,delay_050,capped_time_to_termination,20,12.052499999999785,2.7948804230140216,12.42499999999978,3.4499999999999704,15.419999999999716
holdout,teb,delay_050,path_length,20,5.115083989881826,1.1592118212778377,5.334504019335543,1.4075582114639356,6.473794737847201
holdout,teb,delay_050,min_clearance,20,0.13465175716494168,0.05785922991650563,0.12224335325166125,0.03998882026550492,0.24140756823383558
holdout,teb,delay_050,final_xy_error,20,0.3696796913440273,0.9498458355869719,0.07357990429655005,0.001122153918139633,3.458262483352853
holdout,teb,delay_100,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,teb,delay_100,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,delay_100,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,delay_100,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,delay_100,capped_time_to_termination,20,13.494999999999783,3.2482003114274947,14.374999999999737,3.799999999999963,17.64999999999996
holdout,teb,delay_100,path_length,20,5.174834865070059,1.16954692261253,5.376381601693614,1.4787577178063318,6.5501640798483916
holdout,teb,delay_100,min_clearance,20,0.12515310726162518,0.047958344028129395,0.13549186091160997,0.016049115024586922,0.20774863196328439
holdout,teb,delay_100,final_xy_error,20,0.3678880855414228,0.941479034393192,0.0759949288982901,0.02025942011925439,3.402538893096547
holdout,teb,delay_200,success,20,0.8,0.41039134083406165,1.0,0.0,1.0
holdout,teb,delay_200,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,delay_200,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,delay_200,planner_failure,20,0.2,0.41039134083406165,0.0,0.0,1.0
holdout,teb,delay_200,capped_time_to_termination,20,16.34900000000007,5.004911166991471,17.67499999999996,4.89999999999994,22.660000000000743
holdout,teb,delay_200,path_length,20,5.0749036951782465,1.3580511865343003,5.506144268549546,1.560581594869972,6.747109752649698
holdout,teb,delay_200,min_clearance,20,0.10518038362535971,0.04805824151883999,0.11177651604093797,0.025048191323431182,0.1929205191694283
holdout,teb,delay_200,final_xy_error,20,0.6027886497408252,1.1179548022759787,0.07914465869579912,0.03312457174521806,3.3297832082324783
holdout,teb,e0,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,teb,e0,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,e0,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,e0,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,e0,capped_time_to_termination,20,11.277499999999804,2.5279217072319433,11.684999999999796,3.5999999999999672,14.669999999999732
holdout,teb,e0,path_length,20,5.0821128560378686,1.119943520900212,5.282735991926636,1.5909170230419571,6.419905590320217
holdout,teb,e0,min_clearance,20,0.136950201215757,0.055934510564256704,0.1537374786555213,0.010554967022965281,0.23047069839367157
holdout,teb,e0,final_xy_error,20,0.36211388383822285,0.92110114697277,0.07648644288112888,0.013980248722179784,3.3086687798132424
holdout,teb,tau_w_100,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,teb,tau_w_100,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_w_100,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_w_100,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,tau_w_100,capped_time_to_termination,20,12.264499999999787,2.9585424487494283,12.774999999999771,3.5499999999999683,16.10999999999972
holdout,teb,tau_w_100,path_length,20,5.088359338246651,1.1251073957734108,5.2738461145843605,1.5649523676654886,6.403305094963268
holdout,teb,tau_w_100,min_clearance,20,0.1390239481560675,0.048429672501840916,0.13025900177323357,0.053347350183409165,0.2310304192912901
holdout,teb,tau_w_100,final_xy_error,20,0.3536670444888142,0.9269954002710105,0.05895104332140093,0.018106884912192738,3.3296751610461053
holdout,teb,tau_w_300,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,teb,tau_w_300,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_w_300,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_w_300,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,tau_w_300,capped_time_to_termination,20,16.425500000000046,4.95012650024456,17.084999999999873,3.3999999999999715,26.130000000001285
holdout,teb,tau_w_300,path_length,20,5.0680919915548595,1.139694548770766,5.282736079475541,1.4745334156894057,6.401389808390025
holdout,teb,tau_w_300,min_clearance,20,0.14000978782699725,0.04052062812675423,0.1486208006999506,0.05165729672429582,0.21752390208821834
holdout,teb,tau_w_300,final_xy_error,20,0.35520704374018075,0.9453381659283536,0.049682128461755334,0.028667405236912663,3.412865257103738
holdout,teb,tau_x_100,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,teb,tau_x_100,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_x_100,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_x_100,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,tau_x_100,capped_time_to_termination,20,11.613499999999792,2.573816079389907,11.924999999999791,3.699999999999965,15.299999999999718
holdout,teb,tau_x_100,path_length,20,5.08835791173666,1.1453241385612218,5.29388535457301,1.4846201943165773,6.515997757788982
holdout,teb,tau_x_100,min_clearance,20,0.14198215029566053,0.04889192152362685,0.14752372825648905,0.059495228893379465,0.2294254759043837
holdout,teb,tau_x_100,final_xy_error,20,0.36580004978500147,0.9400178903443798,0.0661404141255365,0.040566723789474506,3.419203182246743
holdout,teb,tau_x_300,success,20,0.9,0.30779350562554625,1.0,0.0,1.0
holdout,teb,tau_x_300,collision,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_x_300,timeout,20,0.0,0.0,0.0,0.0,0.0
holdout,teb,tau_x_300,planner_failure,20,0.1,0.30779350562554625,0.0,0.0,1.0
holdout,teb,tau_x_300,capped_time_to_termination,20,12.699499999999814,3.023863814463404,12.704999999999774,4.599999999999946,19.140000000000192
holdout,teb,tau_x_300,path_length,20,5.1416782634348355,1.1850055282578753,5.300544710926993,1.5220837249032935,6.923689934809956
holdout,teb,tau_x_300,min_clearance,20,0.13919326025069614,0.04224939686802761,0.1444500081485831,0.05859861450122322,0.21721383586065918
holdout,teb,tau_x_300,final_xy_error,20,0.3643266099602521,0.9362734470187708,0.07075915029666555,0.02225023857448568,3.3965821335049404
