episode_id,partition,layout_id,planner,profile_id,success,reason,collision,planner_failures,final_time,path_length,min_clearance,final_xy_error
discovery__discovery_07__teb__delay_100,discovery,discovery_07,teb,delay_100,true,external_tolerance,false,0,15.939999999999705,5.983127069499791,0.16936157751354086,0.028908847876960405
discovery__discovery_10__dwa__tau_w_300,discovery,discovery_10,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,0.6169101383469078,0.804564807753719,4.75626160717355
holdout__holdout_02__teb__tau_w_100,holdout,holdout_02,teb,tau_w_100,true,external_tolerance,false,0,14.459999999999736,5.753303096531296,0.13541027422190038,0.06821720622074497
holdout__holdout_03__teb__tau_w_300,holdout,holdout_03,teb,tau_w_300,true,external_tolerance,false,0,19.8200000000003,5.317531397720781,0.17946982785368817,0.04718629421013164
holdout__holdout_01__dwa__tau_y_500,holdout,holdout_01,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,0.14694983650681062,0.5970311968398299,4.797485535329291
discovery__discovery_18__teb__e0,discovery,discovery_18,teb,e0,true,external_tolerance,false,0,13.78999999999975,5.9593540241783955,0.2121098359547276,0.019714560679748028
holdout__holdout_06__teb__tau_y_300,holdout,holdout_06,teb,tau_y_300,true,external_tolerance,false,0,16.359999999999758,6.043850066163741,0.06998403397506683,0.07930317659174538
holdout__holdout_09__dwa__delay_200,holdout,holdout_09,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,0.11073616392538553,0.8035557500980427,4.798693959698342
discovery__discovery_17__dwa__delay_100,discovery,discovery_17,dwa,delay_100,false,logical_timeout,false,0,30.00000000000189,0.10753009517542378,1.4706897545274167,4.799886964378005
holdout__holdout_14__teb__tau_x_100,holdout,holdout_14,teb,tau_x_100,true,external_tolerance,false,0,15.299999999999718,6.515997757788982,0.10701563122149706,0.053996963715836316
holdout__holdout_16__teb__delay_100,holdout,holdout_16,teb,delay_100,true,external_tolerance,false,0,12.929999999999769,5.0925418591206935,0.15552483402162576,0.05494289053994565
holdout__holdout_03__dwa__tau_y_300,holdout,holdout_03,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,2.401738727055693,0.04780488332968112,2.7933513213193955
holdout__holdout_13__teb__tau_w_100,holdout,holdout_13,teb,tau_w_100,true,external_tolerance,false,0,12.36999999999978,5.1162777298239765,0.18173315071085977,0.05991956620917042
holdout__holdout_01__dwa__e0,holdout,holdout_01,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.5970311968398299,4.800342967782957
discovery__discovery_12__dwa__tau_y_150,discovery,discovery_12,dwa,tau_y_150,true,external_tolerance,false,0,14.72999999999973,5.021335010928331,0.027522629133952585,0.07923353990852365
holdout__holdout_14__dwa__tau_y_300,holdout,holdout_14,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,0.1320295164372248,0.686931445143472,4.799915338987383
discovery__discovery_09__teb__tau_w_100,discovery,discovery_09,teb,tau_w_100,true,external_tolerance,false,0,13.509999999999756,5.6060304189202235,0.17020483057216282,0.06676408575475486
