partition,planner,profile_id,metric,estimate,ci_low,ci_high,n_layouts
holdout,teb,tau_y_150,capped_time_to_termination,1.0909999999999782,0.8599999999999834,1.3315124999999801,20
holdout,teb,tau_y_150,path_length,0.09688420548691748,0.06891179664371341,0.12620320369245303,20
holdout,teb,tau_y_150,min_clearance,-0.012770317421159827,-0.02457729099088485,-0.0009961790526822622,20
holdout,teb,tau_y_150,final_xy_error,0.0035875234250942164,-0.0007170059278623895,0.007835280709284635,20
holdout,teb,tau_y_300,success,-0.1,-0.25,0.0,20
holdout,teb,tau_y_300,collision,0.0,0.0,0.0,20
holdout,teb,tau_y_300,timeout,0.0,0.0,0.0,20
holdout,teb,tau_y_300,planner_failure,0.1,0.0,0.25,20
holdout,teb,tau_y_300,capped_time_to_termination,2.2780000000000316,1.0219750000000094,3.363575000000155,20
holdout,teb,tau_y_300,path_length,-0.14020692059634762,-0.5678726119093086,0.15787702200216,20
holdout,teb,tau_y_300,min_clearance,-0.03168577244632674,-0.05275552992292408,-0.00885040467358455,20
holdout,teb,tau_y_300,final_xy_error,0.2744925432552249,0.009826119900714341,0.6665380042427145,20
holdout,teb,tau_y_500,success,-0.15,-0.3,0.0,20
holdout,teb,tau_y_500,collision,0.0,0.0,0.0,20
holdout,teb,tau_y_500,timeout,0.0,0.0,0.0,20
holdout,teb,tau_y_500,planner_failure,0.15,0.0,0.3,20
holdout,teb,tau_y_500,capped_time_to_termination,3.652000000000151,2.0134375000000553,5.16152500000021,20
holdout,teb,tau_y_500,path_length,-0.2074471495567364,-0.6171500192352193,0.13108418806541883,20
holdout,teb,tau_y_500,min_clearance,-0.042980329039759096,-0.07067113980735275,-0.012341289419764088,20
holdout,teb,tau_y_500,final_xy_error,0.3327911863484412,0.015528768615746875,0.7232225066763506,20
